Name,Active,Kind,Damage_Parts,Normal_Attack,Normal_Bonus,Same_Turn,Defence,Needs_Review,Notes,Ability_Text
Nicodemus,Blood Chalice,heal,,N,,N,,N,,"All adjacent friendly non-mechanical units are set to {[healthPct]}% Health. Until the start of their next turn, affected units gain +{[extraPierceRatio]}% pierce ratio with melee attacks and heal for {[hpToHeal]} Health if they perform a melee attack."
Njal,Stormcaller,damage,1,N,,N,,N,"Other targets not counted. Defence: only Flying enemies are stunned, so not counted.","Target an enemy unit within {[range]} hexes. The target's hex and all adjacent hexes get covered in Ice. All enemies on hexes covered in Ice take {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Psychic Damage. Flying enemies damaged this way get Stunned for 1 round. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Nubari,Total Obliteration,damage,1;2,N,,N,,N,Both attacks hit the same target.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Melta to a target enemy in range {[range]} and sets its hex on Fire. If the enemy survives this attack and is still within range, Nubari performs another attack against it, dealing {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Melta."
Parasite of Mortrex,It Itches!,summon,,N,,N,suppress:one,N,,Suppresses and pushes an adjacent enemy unit and all enemy units adjacent to both the target and the Parasite of Mortrex one hex backwards. Enemy steppables on affected hexes are destroyed. Then summons a Ripper Swarm in each hex vacated by this ability. The Ripper Swarms can immediately attack. The Parasite of Mortrex may move again after activating this ability. Ripper Swarm stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour
Pestillian,Foul Infusion,damage,,Y,dmg,N,,N,,Pestillian and all friendly Chaos units within his Contagion aura deal an additional {[nrOfHits]}x {[dmg]} Toxic Damage with their normal melee attacks for this round and the next. Pestillian then immediately performs a normal melee attack against a random adjacent enemy.
Ragnar,War Howl,damage,,N,+extraDmg,Y,,N,Doesn't end his turn: counts a normal melee attack with +Damage (if he hasn't moved). Crit chance not counted.,"If Ragnar has not moved, he and all friendly Characters that don't have a normal ranged attack gain Unstoppable until the end of this turn. Additionally, their normal melee attacks have +{[extraCritChance]}% Crit Chance and deal +{[extraDmg]} Damage until the end of this turn. Using War Howl does not end Ragnar's turn."
Ramus,Fire Discipline,damage,,PCT,,Y,,N,Counts the reduced-% attack plus his normal attack the same turn.,"Ramus performs a normal attack, using {[dmgPct]}% of his own Damage stat to a maximum of {[maxDmg]} Damage. This ability can be used multiple times per battle but has a cooldown of {[cooldownTurns]} rounds. If Ramus uses this ability while adjacent to another friendly Dark Angel, then it can be used again in his next turn without cooldown. Using Fire Discipline does not end Ramus' turn and he can still enter Overwatch at the end of his turn, unless he performs another normal attack."
Re'vas,Early Warning Override,summon,,N,,N,,N,,"Summons 2 Shield Drones into free adjacent hexes. Newly summoned Shield Drones can immediately attack an enemy in melee, but cannot move this turn. Re'vas also starts Overwatching until the start of her next turn, dealing +{[extraDmg]} Damage. When defeating a unit while Overwatching, she remains in Overwatch, retaining {[hitsReduction]} fewer hits compared to the previous attack. Shield Drones' stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Roswitha,Brazier of Holy Fire,damage,1,N,,N,,N,The extra hits vs Daemons are not counted.,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Flame Damage to a target enemy within range {[range]} and sets its hex on Fire. Deals {[nrOfHits_2]}x {[minDmg]}-{[maxDmg]} Flame Damage vs Daemons instead. ALL Daemons within {[range_2]} hexes of the target take +{[extraDmgPct]}% Extra Damage this round and the next. Immune Daemons only take +{[extraDmgPct_2]}% Extra Damage.
Sarquael,Supercharge,damage,1,N,,N,,N,Other targets not counted. Extra pierce not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Plasma Damage to a target enemy within range {[range]} and {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Plasma Damage to up to two enemies in adjacent hexes behind the target, all with +{[extraPierceRatio]}% pierce ratio. Until the beginning of Sarquael's next turn, any further hits that deal Plasma Damage against these units also have +{[extraPierceRatio]}% pierce ratio."
Sekhetar,Heavy Warpflamer,damage,1,N,,N,,N,+1 hit per Psychic attack this turn not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Flame to an enemy within range {[range]}. Adds +1 hit for each attack with Psychic Damage that friendly units have performed this turn. Cannot exceed {[maxNrOfHits]} hits. If this attack defeats the target, any leftover hits are scored against enemies adjacent to the target and within range {[range]}, prioritising kills."
Shiron,Excruciating Frequencies,damage,1,N,,N,suppress:one,N,Other targets not counted.,Affects {[nrOfTiles]} hexes in a straight line in one of 6 directions. This attack has +{[extraCritChance]}% Crit Chance for each unit on affected hexes and deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Blast Damage to each enemy on affected hexes. Enemies hit are also Suppressed.
Sho'syl,Seeker Missile Frequency Lock,damage,1,N,,N,,N,The missile lands at the start of his next turn; counted as his opening attack.,"A target enemy unit within {[range]} receives a Markerlight until the end of Sho'syl's next turn. At the beginning of Sho'syl's next turn, if he is still in play, the target is hit by a Seeker Missile dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Heavy Round Damage. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Sibyll Devine,Psychic Maelstrom,damage,1,N,,N,,N,Chance-based extra hits not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Psychic Damage to a target within {[range]} hexes. {[chance]}% chance to score another hit. If it does, {[chance_2]}% chance to score another hit. If it does, {[chance_3]}% chance to score another hit. If it does, {[chance_4]}% chance to score another hit. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Snappawrecka,Dakka! Dakka! Dakka!,damage,1,N,,N,lose:healthPct,N,+hits per repair not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Projectile Damage to an enemy within range {[range]}. Adds +{[extraHits]} hits for each time Snappawrecka was repaired this battle, but cannot exceed {[maxNrOfHits]} hits in total. If the target is defeated, leftover hits are allocated to random enemies within {[range_2]} hexes. Snappawrecka also loses {[healthPct]}% of his maximum Health."
Snotflogga,Get ’Em Runtz,summon,,N,,N,,N,,"Summons 1 Grot in each adjacent hex that also has an enemy unit adjacent to it. Newly spawned Grots can immediately attack an enemy in melee, but cannot move this turn. Enemy units attacked by a Grot this way are Taunted for 1 round. Grot’s stats: {[summonHp]} Health {[summonDmg]} Damage"
Sword Brother Godswyl,Thunderous Assault,damage,1,N,,N,stun:one,N,,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to an adjacent enemy and pushes it one hex backwards. The target is Stunned for 1 round. Sword Brother Godswyl then moves into the vacated hex if able. Enemies defeated by this attack are always overkilled.
Sy-Gex,Sentinel Directives,damage,1,N,,Y,suppress:one,N,Doesn't end his turn: counts the ability + a normal attack.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Physical Damage to an enemy unit within range {[range]} and Suppresses it for 1 round. Cannot be used if there is an enemy adjacent to Sy-Gex. Using Sentinel Directives does not end Sy-Gex's turn and he can still enter Overwatch this turn, unless he performs a normal attack."
Tan Gi'da,Doctrina Imperatives,support,,N,,N,,N,,Tan Gi’da switches between two Imperatives that affect him and all friendly adjacent Mechanical units: Protector Imperative: Affected units have +{[extraArmor]} Armour. Conqueror Imperative: Affected units deal +{[extraDmg]} Damage against units with reduced Armour. This ability can be used once per turn instead of once per battle; each use switches the active Imperative. Tan Gi’da can attack after using this ability. Only the first use of this ability each battle counts as using an active ability.
Tanksmasha,Unstoppable Momentum,damage,1,N,,N,suppress:one,N,+Damage per hex charged not counted.,"Charges in one of 6 directions and keeps moving in a straight line until he hits an obstacle or a Big Target. Any enemies hit by the charge take {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Direct Damage, increased by {[extraDmg]} Damage for each hex traversed from the starting hex to the enemy. Affected enemies get pushed and Suppressed for 1 round. A Big Target is Stunned for 1 round instead. Friendly units are also displaced, but take no damage or negative effects. Initial cooldown: {[initialCooldownTurns]} round."
Tarvakh,Murderous Swing,damage,1,N,,N,,N,+Damage when only one enemy is hit not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Piercing Damage to all adjacent enemies. If this attack only hits one enemy, it deals +{[extraDmg]} Damage."
Thaddeus Noble,Basilisk Barrage,damage,1,N,,N,,N,Owner-confirmed: several shells land randomly around the target; counted as one shell hitting it.,"If Thaddeus Noble has not moved, unleashes a barrage of {[nrOfProjectiles]} shells on any target on the battlefield, each dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Blast Damage. {[nrOfProjectiles_2]} randomly hit the target hex or surrounding hexes and the remaining 2 hit the hexes surrounding those. For each round that has ended, 1 more of the shells hits the target hex, starting with the shells hitting the outer hexes. The Suppressive Fire trait applies also to this ability. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Thaumachus,Attempted Possession,support,,N,,N,,N,The possessed enemy attacks its own side; Thaumachus deals no damage himself.,"Target an enemy within {[range]} hexes. The target and any Summons it has summoned become possessed and immediately perform a normal attack against the closest enemy unit, preferring unpossessed targets. Possessed units deal {[dmgPct]}% of their own Damage to a maximum of {[maxDmg]} Damage per hit. Possessed Summons will move before attacking."
The Patermine,Might From Below,damage,1,N,,N,,N,Genestealers (summons) not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Psychic Damage to an adjacent enemy, then summons a Purestrain Genestealer on each decoy adjacent to the Patermine. The Purestrain Genestealers can immediately attack in melee, but cannot move this turn. Purestrain Genestealer stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Thothmek,Chronometron,support,,N,,N,suppress:all,N,Suppresses enemies and makes them take more damage from the next attack; no damage itself. Defence: suppresses all enemies within range 2.,"All enemy units within range {[range]} are Suppressed for {[nrOfRounds]} round. Affected Summons are Stunned instead. All enemies within range {[range]} take +{[extraDmg]} Damage from the next attack made by a unit against them, or +{[extraDmg_2]} Damage if the attacker is Mechanical."
Thutmose,Harbinger of Destruction,damage,1,N,,N,,N,Other targets not counted.,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Direct Damage to up to {[nrOfUnits]} enemies within {[range]} hexes.
Titus,Tactical Precision,damage,1,N,,N,,N,"Owner-confirmed: counts the charge version (Bolter, target only). The crit and extra Crit Damage are not counted. No-charge version (Chain to all adjacent) not counted.","Attacks a targeted adjacent enemy. If Titus has charged that enemy this turn, he deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Bolter Damage to it. This attack is always a Crit and deals an additional +{[extraCritDmg]} Crit Damage. If Titus did not charge the targeted enemy this turn, he instead deals {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Chain Damage to all adjacent enemies. When Titus gets revived or resurrected and Tactical Precision has already been used, then Tactical Precision can be used again in this battle."
Tjark,Grapnel Launcher,damage,1,N,,N,,N,,"Targets an enemy unit within {[range]} hexes and deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Physical Damage to it. If Tjark is not already adjacent to the target, it is then pulled 1 hex towards Tjark if possible, and can be pulled over any elevation but not through impassable terrain. Tjark then moves to occupy the hex the target originally occupied if it's free, or a free adjacent hex if it is not. If there are no free hexes, then Tjark does not move."
Toth,Hellfyre Missile Rack,damage,1,N,,N,,N,Extra hit if the target took Psychic damage this turn not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Heavy Round Damage to a target enemy unit within range {[range]} and an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Heavy Round Damage to each enemy unit on the map that was dealt Psychic Damage this turn, which can include the initial target again. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Trajann,Moment Shackle,defence,,N,,N,heal:hpToHeal,N,"Only damages enemies that move away from him; heal and block not modelled yet. Defence: the heal only. The block bonus needs block gear, which the model leaves out.","Trajann heals himself for {[hpToHeal]} Health. For {[nrOfRounds]} round, Trajann has +{[blockChance]}% Block chance and blocks an additional +{[blockDmg]} Damage. During that round, he also deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Bolter Damage to each enemy unit that moves from a hex adjacent to him."
Typhus,Plague Wind,damage,1,N,,N,,N,Other targets not counted.,"Deals {[nrOfHits]}x{[minDmg]}-{[maxDmg]} Psychic Damage to a target within {[range]} hexes. Any enemies adjacent to the initial target take {[nrOfHits]}x {[minDmg_2]}-{[maxDmg_2]} Psychic Damage. Any further enemies adjacent to at least one secondary target take {[nrOfHits]}x {[minDmg_3]}-{[maxDmg_3]} Psychic Damage. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Tyrant Guard,Crushing Claws,damage,1,N,,N,suppress:one,N,Other targets not counted. Defence: suppresses the target (and enemies next to both); counted as one enemy.,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Piercing Damage to an adjacent enemy and Taunts them for 1 round. Enemies adjacent to both the Tyrant Guard and the target take {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Physical Damage and then get pushed back 1 hex. All affected units become Suppressed for 1 round.
Tyrith,Vigilance Eternal,damage,1,N,,Y,,N,,Targets an enemy unit that has a free adjacent hex within movement range {[range]} of Tyrith or is already on a hex adjacent to Tyrith. She then moves to the free hex and deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to the targeted unit. This ability can be used multiple times per battle but has a cooldown of {[cooldownTurns]} rounds. Using Vigilance Eternal does not end Tyrith's turn.
Ulf,Great Frost Axe,damage,1,N,,N,,N,,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Piercing Damage to an adjacent enemy and covers the hex the enemy stands on and all hexes adjacent to it in Ice. The Crit Damage bonus of the Ice is already applied for this attack.
Uthar,Ancestral Fortune,damage,1,N,,N,,N,"Defence: the block chance needs block gear, which the model leaves out.","Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Plasma to an adjacent enemy and Taunts it for 1 round. The targeted unit cannot be revived, healed, repaired, nor otherwise restore Health for 1 round. Ûthar also gains +{[extraBlockChance]}% Block chance until the start of his next turn. After a combined total of {[nrOfAttacks]} attacks that Ûthar has Blocked or scored Crits in after using Ancestral Fortune, the ability can be used again."
Varro Tigurius,Storm Of Wrath,damage,1,N,,N,,N,Other targets not counted.,"Deals 1x {[minDmg]}-{[maxDmg]} Psychic Damage to a unit within 2 hexes and up to {[maxAdjacentTargets]} adjacent units. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Vindicta,Armorium Cherub,damage,1,N,,Y,,N,,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Flame Damage to a target within range {[range]}. Using Armorium Cherub does not end Vindicta's turn.
Vitruvius,Rad-Bombardment,damage,1,N,,N,suppress:one,N,Line length grows each round; only the target counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Toxic Damage to all units in a straight line in one of 6 directions and adds Contamination to all hexes in the line. All units hit are Suppressed for 1 round. The length of the line starts at 2 hexes and increases by 1 hex for each round that has passed and by 1 hex each time a friendly Mechanic restores Health of a unit. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Volk,Frenzied Firing,damage,1,N,,N,,N,Other targets not counted. Extra hits per free hex not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Heavy Round Damage to a target enemy in range {[range]} and to all enemies adjacent to it. Scores an additional hit to the target for each free hex adjacent to it, up to a maximum of {[maxNrOfHits]} hits. Additional hits from Fleshmetal Guns are scored against each enemy attacked."
Vynn,Graviton Rifle,damage,1,N,,N,stun:one,N,Extra pierce vs Gravis / Terminator / Mechanical not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Physical to an enemy in range {[range]} and Stuns it for {[nrOfRounds]} round. This attack has +{[extraPierceRatio]}% pierce ratio against MK X Gravis, Terminator Armour or Mechanical units."
Winged Prime,Alpha Warrior,summon,,N,,N,,N,The summoned Tyranid Warrior makes the attack.,"If the Winged Prime has not moved this turn, summons a Tyranid Warrior on a free hex within Synapse range. The Tyranid Warrior cannot move this turn, but can immediately perform a normal attack against an enemy in range. Tyranid Warrior stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Wrask,Bloody Fury,damage,1,N,,N,,N,+hits per time attacked not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Chain Damage to an adjacent enemy. This attack scores +{[extraHit]} hit for each time Wrask was attacked in this battle, to a maximum of {[maxNrOfHits]} hits total. Any leftover hits are allocated to remaining adjacent enemies, prioritising kills."
Xybia,Mind Control,heal,,N,,N,,N,"Defence: protects the ally the enemy is taunted by, not Xybia herself.","Targets an enemy unit within {[range]} hexes that is adjacent to one or more friendly units. For this round and the next, that enemy unit deals -{[dmgReduction]} Damage, takes +{[extraDmgPct]}% Damage, and becomes Taunted by the adjacent unit with the highest current Health."
Yazaghor,Sorcerous Facade,damage,1,Y,,N,,N,Counts his normal attack with the extra Psychic hit.,"Target a friendly Psyker. Until the beginning of Yazaghor's next turn both he and the target deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Psychic Damage with their normal attacks. Yazaghor performs a normal attack against the closest enemy unit, and then switches positions with the targeted Psyker. Note: this ability can only be used if Yazaghor has an enemy in range."
